Bảng 1
Drug ;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse;;;;;;;;;;
Duloxetine;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Advil;Oral Suspension available;Use suspension;-;-;-;Not for Jejunal FT;-;-;-;;;;;;;;;;
Ibuprofen;Oral Suspension available;Use suspension;-;-;-;Not for Jejunal FT;-;-;-;;;;;;;;;;
Potassium chloride;Solution available;Use Solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Aspirin;No;Dissolve well;10;1;10;Dissolve well;10;1;10;;;;;;;;;;
Aspirin ;No;Dissolve well;10;1;10;Dissolve well;10;1;10;;;;;;;;;;
Pravachol;No;Poorly soluble, require extra rinsing, need acid for dissolution;10;2;20;Poorly soluble, require extra rinsing, need acid for dissolution;10;2;20;;;;;;;;;;
Pravastatin;No;Poorly soluble, require extra rinsing, need acid for dissolution;10;2;20;Poorly soluble, require extra rinsing, need acid for dissolution;10;2;20;;;;;;;;;;
Zyloprim;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Allopurinol;No;Dissolves well, leaves residue that ppt quickly;10;1;20;Dissolves well, leaves residue that ppt quickly;10;1;20;;;;;;;;;;
Celexa;Oral solutio available;Dissolves quickly;10;2;10;Dissolves quickly;10;2;10;;;;;;;;;;
Citalopram;Oral solutio available;Dissolves quickly;10;2;10;Dissolves quickly;10;2;10;;;;;;;;;;
Xanax;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Alprazolam;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Certirizine;Solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Venlafaxine;No;Dissolves quickly;10;3;10;Dissolves quickly;10;3;10;;;;;;;;;;
Cyclobenzaprine;No;Dissolve readily;10;1;10;Dissolve readily;10;1;10;;;;;;;;;;
Hydroxyzine;Syrup available;Poor dissolution, mix and frequent rinse;-;-;-;Use Syrup;-;-;-;;;;;;;;;;
Plavix;No;Dissolves, requires gastric administration;10;2;20;Not For Jejunal FT;-;-;-;;;;;;;;;;
Clopidogrel;No;Dissolves, requires gastric administration;10;2;20;Not For Jejunal FT;-;-;-;;;;;;;;;;
Famotidine;Oral Powder Suspension available;tablet dissolve quickly;10;1;10;tablet dissolve quickly;10;1;10;;;;;;;;;;
Spironolactone;No;Slow to dissolve, extra rinse needed ;10;2;20;Slow to dissolve, extra rinse needed ;10;2;20;;;;;;;;;;
Aldactone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Prinzide;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydrochlrothiazide (HTCZ)/lisinopril;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Buspar;No;Quickly dissolve;10;1;10;Quickly dissolve;10;1;10;;;;;;;;;;
Buspirone;No;Quickly dissolve;10;1;10;Quickly dissolve;10;1;10;;;;;;;;;;
Tramadol;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ultram;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Jardiance;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Empagliflozin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xanax;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Clonazepam;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oxycodone;Oral solution;Data not available;;;;Data not available;;;;;;;;;;;;;
Ondansetron;Injectable solution available;Use tablet;10;1;10;Use tablet;10;1;10;;;;;;;;;;
Zofran ;Injectable solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Ondansetron ;Injectable solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Cholecalciferol;No;Dissolves quickly , require extra rinse;10;1;20;Dissolves quickly , require extra rinse;10;1;20;;;;;;;;;;
Atenolol;No;Contains co-precipitate mix in syringe and extra rinse;10;2;20;Contains co-precipitate mix in syringe and extra rinse;10;2;20;;;;;;;;;;
Amaryl;No;Dissolves quickly but fall out of solution quickly. Contains a co-precipitate;10;1;10;Not for Jejunal FT;-;-;-;;;;;;;;;;
Glimepiride;No;Dissolves quickly but fall out of solution quickly. Contains a co-precipitate;10;10;10;Not for Jejunal FT;-;-;-;;;;;;;;;;
Folic acid;Injectable solution available;Dissolves quickly, require extra rinse;10;1;20;Dissolves quickly, require extra rinse;10;1;20;;;;;;;;;;
Ambien;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zolpidem;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ambien CR;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
zolpidem ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Vyvanse;Chewable tablet available;Data not available;;;;Data not available;;;;;;;;;;;;;
Lisdexamphetamine;Chewable tablet available;Data not available;;;;Data not available;;;;;;;;;;;;;
Clonidine;No;Dissolves slowly;10;2;20;Dissolves slowly;10;2;20;;;;;;;;;;
Clonidine ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Loratadine;Solution available;Tablet is better for FTm Syrup is too thick;10;2;10;Tablet is better for FTm Syrup is too thick;10;2;10;;;;;;;;;;
Hyzaar;No;Slow to dissolves, require extra rinse;10;4;30;Slow to dissolves, require extra rinse;10;4;30;;;;;;;;;;
Hydrochlorothiazide (HCTZ)/ Losartan;No;Slow to dissolves, require extra rinse;10;4;30;Slow to dissolves, require extra rinse;10;4;30;;;;;;;;;;
Inderal;Oral solution available;Poorly soluble, require extra rinsing;10;1;20;Poorly soluble, require extra rinsing;10;1;20;;;;;;;;;;
Propranolol;Oral solution available;Poorly soluble, require extra rinsing;10;1;20;Poorly soluble, require extra rinsing;10;1;20;;;;;;;;;;
Azithromycin;Suspension availabel;Tablet dissolved readily;10;1;10;Tablet dissolved readily;10;1;10;;;;;;;;;;
Zetia;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ezetimibe;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ativan;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Lorazepam;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Seroquel;No;Poorly soluble, require extra rinsing;15;4;30;Poorly soluble, require extra rinsing;15;5;30;;;;;;;;;;
Quetiapine;No;Poorly soluble, require extra rinsing;15;4;30;Poorly soluble, require extra rinsing;15;5;30;;;;;;;;;;
Coumadin;No;Not for FT admin- clings to FT. See discussion 5;-;-;-;Not for FT admin- clings to FT. See discussion 5;-;-;-;;;;;;;;;;
Warfarin;No;Not for FT admin- clings to FT. See discussion 5;-;-;-;Not for FT admin- clings to FT. See discussion 5;-;-;-;;;;;;;;;;
Januvia;No;Slowly to dissolves, extra rinse;10;2;20;Slowly to dissolves, extra rinse;10;2;20;;;;;;;;;;
Sitagliptin;No;Slowly to dissolves, extra rinse;10;2;20;Slowly to dissolves, extra rinse;10;2;20;;;;;;;;;;
Tricor;No;Poorly soluble, require extra rinsing;20;5;30;Poorly soluble, require extra rinsing;20;5;30;;;;;;;;;;
Fenofibrate;No;Poorly soluble, require extra rinsing;20;5;30;Poorly soluble, require extra rinsing;20;5;30;;;;;;;;;;
Trilipix;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Fenofibrate;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Naprosyn;Oral Suspension available;;;;;Data not available;;;;;;;;;;;;;
Naproxen ;Oral Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Xarelto;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rivaroxaban;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Paxil;Oral Suspension available;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10;;;;;;;;;;
Paroxetine;Oral Suspension available;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10;;;;;;;;;;
Paxil ;Oral Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Paroxetine ;Oral Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Celebrex;No;Contains co-precipitate. Mix in syringe and ex tra rinse;10;1;20;Contains co-precipitate. Mix in syringe and ex tra rinse;10;1;20;;;;;;;;;;
Celecoxib;No;Contains co-precipitate. Mix in syringe and ex tra rinse;10;1;20;Contains co-precipitate. Mix in syringe and ex tra rinse;10;1;20;;;;;;;;;;
Zanaflex;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tizanidine;No;Dissolves quickly need extra rinse;10;1;20;Dissolve quicky need extra rinse;10;1;20;;;;;;;;;;
Benicar ;No;Slowly dissolution, rinse well - prodrug requires gastric administration;10;2;20;Not For jejunal FT;-;-;-;;;;;;;;;;
Olmesartan;No;Slowly dissolution, rinse well - prodrug requires gastric administration;10;2;20;Not For jejunal FT;-;-;-;;;;;;;;;;
Percocet;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Acetaminophen/ Oxycodone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Keflex;Oral Suspension available;Use suspension. capsule does not dissolve;-;-;-;Use suspension. capsule does not dissolve;-;-;-;;;;;;;;;;
Cephalexin;Oral Suspension available;Use suspension. capsule does not dissolve;-;-;-;Use suspension. capsule does not dissolve;-;-;-;;;;;;;;;;
Baclofen;No;Disintegrates quickly, but foams and may form clogs- rinse well;10;1;20;Disintegrates quickly, but foams and may form clogs- rinse well;10;1;20;;;;;;;;;;
Abilify;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Aripiprazole;Oral solution available;Dissolves quickly;10;2;10;Dissolves quickly;10;2;10;;;;;;;;;;
Ferrous Sulfate EC;No;Not for FT. Use liquid;-;-;-;Not for FT. Use liquid;-;-;-;;;;;;;;;;
Thaliton;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Chlorthalidone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oxybutynin;Oral syrup available;Dissolve quickly ;10;1;10;Dissolve quickly ;-;-;-;;;;;;;;;;
Oxybutynin;Oral syrup available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Plaquenil;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydroxychloroquine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Valtrex;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Valacyclovir;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Acetaminophen;Liquid available;Use solution;;;;Data not available;;;;;;;;;;;;;
Farxiga;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dapagliflozin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dyazide;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Hydrochlorothiazide/Triamterene;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Diovan;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Valsartan;No;Poorly soluble, require extra rinsing;10;1;20;Poorly soluble, require extra rinsing;10;1;20;;;;;;;;;;
Actos;No;Poorly soluble, require extra rinsing;10;3;30;Poorly soluble, require extra rinsing;10;3;30;;;;;;;;;;
Pioglitazone;No;Poorly soluble, require extra rinsing;10;3;30;Poorly soluble, require extra rinsing;10;3;30;;;;;;;;;;
Hydralazine;Injectable solution available;Much Residual undissolved. Rinse well;10;5;30;Much Residual undissolved. Rinse well;10;5;30;;;;;;;;;;
Robaxin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Methocarbamol;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Antivert;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Meclizine;No;Dissolve quickly;10;2;10;Dissolve quickly;10;2;10;;;;;;;;;;
Meclizine ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Cyanocobalamin;Injectable solution available;Tablet does not dissolve. Not for Feeding Tube;-;-;-;Tablet does not dissolve. Not for Feeding Tube;-;-;-;;;;;;;;;;
Methotrexate;No;Chemotherapy, use liquid;-;-;-;Chemotherapy, use liquid;-;-;-;;;;;;;;;;
flagyl;Injectable solution available;Dissolves quickly but require extra rinse;10;1;20;Dissolves quickly but require extra rinse;10;1;20;;;;;;;;;;
Metronidazole;Injectable solution available;Dissolves quickly but require extra rinse;10;1;20;Dissolves quickly but require extra rinse;10;1;20;;;;;;;;;;
Zovirax;Oral Suspension available;;;;;Data not available;;;;;;;;;;;;;
Acyclovir;Oral Suspension available;Use capsule for FT, tablets poor solubility, suspension thick.;10ML ;1 MIN;10ML;Use capsule for FT, tablets poor solubility, suspension thick.;10ML;1 MINS;;;;;;;;;;;
Ms Contin;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Morphine ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Vasotec;Oral solution available;Dissolves quickly, pro-drug. Require acid dissolution;10;1;10;Not for Jejunal FT;-;-;-;;;;;;;;;;
Enalapril;Oral solution available;Dissolves quickly, pro-drug. Require acid dissolution;10;1;10;Not for Jejunal FT;-;-;-;;;;;;;;;;
Bactrim DS;Oral Suspension available;Use suspension, extra rinse needed;-;-;-;Use suspension, extra rinse needed;-;-;-;;;;;;;;;;
Sulfamethaxzone, trimethoprim;Oral Suspension available;Use suspension, extra rinse needed;-;-;-;Use suspension, extra rinse needed;-;-;-;;;;;;;;;;
Clindamycin;Oral suspension available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Phentermine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Xyzal;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Levocetirizine;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Medrol;Oral solution available;Dissolve quicky;10;1;10;Dissolve quicky;10;1;10;;;;;;;;;;
Methylprednisolone;Oral solution available;Dissolve quicky;10;1;10;Dissolve quicky;10;1;10;;;;;;;;;;
Viagra;No;Slow to dissolve, extra rinse;10;2;20;Slow to dissolve, extra rinse;10;2;20;;;;;;;;;;
Sildenafil;No;Slow to dissolve, extra rinse;10;2;20;Slow to dissolve, extra rinse;10;2;20;;;;;;;;;;
Macrobid;Oral suspension available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Nitrofurantoin;Oral suspension available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Lotensin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Benazepril;No;Dissolves tablet, Rinse well;10;1;30;Dissolves tablet, Rinse well;10;1;30;;;;;;;;;;
Diflucan;Oral solution available;Dissolves tablet, Rinse well;10;1;30;Dissolves tablet, Rinse well;10;1;30;;;;;;;;;;
Fluconazole;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Paxlovid;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Nirmatrelvir/Ritonavir;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Sascubitril Valsartan ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Entresto Sprinkle;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Entresto;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Sascubitril Valsartan ;NO;Data not available;;;;Data not available;;;;;;;;;;;;;
Acetamiophen/Codeine;Oral suspension available;;;;;Data not available;;;;;;;;;;;;;
Trileptal;Oral suspension available;Contains co-precipitate. Poor dissolution, require gastric administration. Suspension thick with Sorbital;10;2;20;Not for Jejunal Feeding Tube;-;-;-;;;;;;;;;;
Oxcarbazepine;Oral suspension available;Contains co-precipitate. Poor dissolution, require gastric administration. Suspension thick with Sorbital;10;2;20;Not for Jejunal Feeding Tube;;-;-;;;;;;;;;;
Valium;Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Diazepam;Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Lotrel;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Amlodipine  Benazepril;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Zyprexa;Injectable solution available;ODT requires intact GI tract but less water than tablet. Gastric tube only;15;5;30;Not for jejunal FT;-;-;-;;;;;;;;;;
Olanzapine;Injectable solution available;ODT requires intact GI tract but less water than tablet. Gastric tube only;15;5;30;Not for jejunal FT;-;-;-;;;;;;;;;;
Olanzapine ODT;Injectable solution available;ODT requires intact GI tract but less water than tablet. Gastric tube only;15;5;30;Not for jejunal FT;-;-;-;;;;;;;;;;
Cialis;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tadalafil;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Bystolic;No;Poor soluble, requires extra rinsing;10;5;20;Poor soluble, requires extra rinsing;10;5;20;;;;;;;;;;
Nebivolol;No;Poor soluble, requires extra rinsing;10;5;20;Poor soluble, requires extra rinsing;10;5;20;;;;;;;;;;
Ketoconazole;No;Poorly soluble, does not mix well for FT. Need acid to dissolve;10;5;30;Not for Jejunal FT;;;;;;;;;;;;;
Dicyclomine ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dicyclomine ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Entocort EC;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Budesonide;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Arimidex;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Anastrozole;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Cardura;No;Dissolves quickly;10;1;20;Dissolves quickly;10;1;20;;;;;;;;;;
Doxazosin;No;Dissolves quickly;10;1;20;Dissolves quickly;10;1;20;;;;;;;;;;
Ciprofloxacin;Oral suspension available;Slowly dissolution, rinse well. Do not use suspension;20;2;60;Slowly dissolution, rinse well. Do not use suspension;20;2;60;;;;;;;;;;
Metformin Sitagliptin ;No;Not for Tube Feeding;-;-;-;Not for Jejunal FT;-;-;-;;;;;;;;;;
Zituvimet XR;No;Not for Tube Feeding;-;-;-;Not for Jejunal FT;-;-;-;;;;;;;;;;
Zituvimet;No;Not for Tube Feeding;-;-;-;Not for Jejunal FT;-;-;-;;;;;;;;;;
Metformin Sitagliptin;Oral solution available;Not For Tube Feeding ;-;-;-;Not for Jejunal FT;-;-;-;;;;;;;;;;
Risperdal;Oral solution available;Require acid for delivery;10;1;10;Not for Jejunal FT;-;-;-;;;;;;;;;;
Risperidone;Oral solution available;Require acid for delivery;10;1;10;Not for Jejunal FT;-;-;-;;;;;;;;;;
Torsemide;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rizatriptan ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Maxalt-MLT;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Maxalt;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rizatriptan;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Nortriptyline;Oral solution available;Dissolve quickly;10;1;10;Data not available;10;1;10;;;;;;;;;;
Mirapex;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Pramipexole;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Mirapex ;No;Not for Tube Feeding;-;-;-;Not for Tube Feeding;-;-;-;;;;;;;;;;
Pramipexole ;No;Not for Tube Feeding;-;-;-;Not for Tube Feeding;-;-;-;;;;;;;;;;
Colcrys;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Colchicine;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10;;;;;;;;;;
Promethazine;Oral solution available;Dissolve quickly;10;2;10;Dissolve quickly;10;2;10;;;;;;;;;;
Irbesartan;No;Does not dissolves, extra rinse needed;10;1;30;Does not dissolves, extra rinse needed;10;1;30;;;;;;;;;;
Cortef;Injectable solution available;Much residual undissolved, rinse well;10;2;20;Much residual undissolved, rinse well;10;2;20;;;;;;;;;;
Hydrocortisone;Injectable solution available;Much residual undissolved, rinse well;10;2;20;Much residual undissolved, rinse well;10;2;20;;;;;;;;;;
Brillinta;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ticagrelor;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Liothyronine;Injectable solution available;Poor soluble, require extra rinsing;10;3;30;Poor soluble, require extra rinsing;10;3;30;;;;;;;;;;
Tamiflu;Oral suspension available;Prodrug, require gastric administration to activate. Suspension thick with Sorbital. Mix capsule with Water;10;1;10;Prodrug, require gastric administration to activate. Suspension thick with Sorbital. Mix capsule with Water;10;1;10;;;;;;;;;;
Oseltamivir;Oral suspension available;Prodrug, require gastric administration to activate. Suspension thick with Sorbital. Mix capsule with Water;10;1;10;Prodrug, require gastric administration to activate. Suspension thick with Sorbital. Mix capsule with Water;10;1;10;;;;;;;;;;
Vesicare;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Solifenacin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lithium ;No;Use suspension. Dilute with 3x with water. Need gastric administration;-;-;-;Not for Jejunal Feeding tube;-;-;-;;;;;;;;;;
Lithobid;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lithium ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Atomoxetine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Strattera;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Carafate;Oral suspension available;;;;;Data not available;;;;;;;;;;;;;
Sucralfate;Oral suspension available;Use suspension;-;-;-;Not For Jejunal Feeding Tube;-;-;-;;;;;;;;;;
Labetalol;Injectable solution available;Poorly soluble require extra rinse;10;2;20;Poorly soluble require extra rinse;10;2;20;;;;;;;;;;
Melatonin;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Doxepin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Myrbetriq;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mirabegron;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ketorolac;Injectable solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Dexilant;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lansoprazole;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Ascorbic acid;No;Dissolve quickly;10;2;10;Dissolve quickly;10;2;10;;;;;;;;;;
Micardis;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Telmisartan;No;Slow to dissolve, require gastric administration;10;5;10;Not for jejunal Feeding Tube;-;-;-;;;;;;;;;;
Vascepa (Omega-3 Fatty Acids);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Icosapent Ethyl;No;Not For Feeding Tube;;;;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lopid;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Gemfibrozil;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ranexa;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ranolazine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydromorphone;Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Hydromorphone ;Injectable solution available;;;;;Data not available;;;;;;;;;;;;;
Dexanethasone;Oral solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Benicar HCT;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydrochlorothiazide (HCTZ)/Olmesartan;No;Not For FT;-;-;-;Not for FT;-;-;-;;;;;;;;;;
Amiodarone;No;Not For FT;-;-;-;Not For FT;-;-;-;;;;;;;;;;
Nabumetone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fioricet;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Acetaminophen/Butabital/Caffeine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Bisoprolol;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Levaquin;Oral solution and Injectable solution available;Use suspension, Dilute 3x volume;-;-;-;Use suspension, Dilute 3x volume;-;-;-;;;;;;;;;;
Levofloxacin;Oral solution and Injectable solution available;Use suspension, Dilute 3x volume;-;-;-;Use suspension, Dilute 3x volume;-;-;-;;;;;;;;;;
Lamisil;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Terbinafine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Indocin;Oral suspension available;Open capsule, content dissolves quickly;10;1;20;Open capsule, content dissolves quickly;10;1;20;;;;;;;;;;
Indomethacin;Oral suspension available;Open capsule, content dissolves quickly;10;1;20;Open capsule, content dissolves quickly;10;1;20;;;;;;;;;;
Allergra;Oral suspension available;Contains co-precipitate, poor dissolution, extra rinse;10;1;30;Contains co-precipitate, poor dissolution, extra rinse;10;1;30;;;;;;;;;;
Fexofenadine;Oral suspension available;Contains co-precipitate, poor dissolution, extra rinse;10;1;30;Contains co-precipitate, poor dissolution, extra rinse;10;1;30;;;;;;;;;;
Diphnehydramine;Oral solution available;;;;;Data not available;;;;;;;;;;;;;
Penicillin V K;Oral solution available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Senna/Docusate;Syrup available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Minocin;injectable solution available;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10;;;;;;;;;;
Minocycline;injectable solution available;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10;;;;;;;;;;
Erythromycin ;No;Not for FT. Use suspension;-;-;-;Not for FT. Use suspension;-;-;-;;;;;;;;;;
Ery-Tab;No;Not for FT. Use suspension;-;-;-;Not for FT. Use suspension;;;;;;;;;;;;;
Erythromycin;No;Not for FT. Use suspension;-;-;-;Not for FT. Use suspension;-;-;-;;;;;;;;;;
Guanfacine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Intuniv;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Guanfacine ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Medroxyprogesterone;injectable solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Medroxyprogesterone;No;Dissolve quickly ;10;1;10;Dissolve quicky;10;1;10;;;;;;;;;;
Calcium Carbonate;No;Not for FT;-;-;-;Not for FT;-;-;-;;;;;;;;;;
Sinemet;No;Poorly soluble, require extra rinsing;10;1;3-;Poorly soluble, require extra rinsing;10;1;30;;;;;;;;;;
Carbidopa/Levodopa;No;Poorly soluble, require extra rinsing;10;1;30;Poorly soluble, require extra rinsing;10;1;30;;;;;;;;;;
Sinemet CR;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Carbidopa/Levodopa ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Sennosides;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cefuroxime;Oral suspension available;Tablet does not dissolves. Use suspension;-;-;-;Tablet does not dissolves. Use suspension;-;-;-;;;;;;;;;;
Lomotil;Oral solution available;Use solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Atropine/Diphenoxylate;Oral solution available;Use solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Thiamine;injectable solution available;Dissolves quickly, need extra rinse;10;2;20;Dissolves quickly, need extra rinse;10;2;20;;;;;;;;;;
