MediCrush1017.xlsx - Sheet1
Drug ;Dose Form;Comment;RPH1;Date ;Reference;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse
Lithobid;Extended Released Tablet;"Swallow tablets whole; do not crush, break, or chew.";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/018027s069lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Lithium ;Extended Released Tablet;"Swallow tablets whole; do not crush, break, or chew.";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/018027s069lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Atomoxetine;Capsule;Do not chew, crush, or open the capsules;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021411s050lbl.pdf;No;Data not available;;;;Data not available;;;
Strattera;Capsule;Do not chew, crush, or open the capsules;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021411s050lbl.pdf;No;Data not available;;;;Data not available;;;
Carafate;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/018333s034,019183s016lbl.pdf;Oral suspension available;;;;;Data not available;;;
Sucralfate;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/018333s034,019183s016lbl.pdf;Oral suspension available;Use suspension;-;-;-;Not For Jejunal Feeding Tube;-;-;-
Labetalol;Tablet ;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/018716s036lbl.pdf;Injectable solution available;Poorly soluble require extra rinse;10;2;20;Poorly soluble require extra rinse;10;2;20
Melatonin;Tablet;crushable;HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=92b2ccdc-2eed-4307-af45-da455f557cf8;Oral solution available;;;;;Data not available;;;
Doxepin;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/016798s057,017516s026lbl.pdf;No;Data not available;;;;Data not available;;;
Myrbetriq;Extended Released Tablet;Swallow Myrbetriq whole with water. Do not chew, divide, or crush.;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202611s017,213801s000lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Mirabegron;Extended Released Tablet;Swallow whole with water. Do not chew, divide, or crush.;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202611s017,213801s000lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Ketorolac;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019645s019lbl.pdf;Injectable solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Dexilant;Tablet;"Swallow whole; do not chew";Hn;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022287s038lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Lansoprazole;Tablet;"Swallow whole; do not chew";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022287s038lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Ascorbic acid;Tablet ;crushable;HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b22c2ad8-0d4a-4b78-8d6e-dc917a777ab6;No;Dissolve quickly;10;2;10;Dissolve quickly;10;2;10
Micardis;tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020850s045lbl.pdf;No;Data not available;;;;Data not available;;;
Telmisartan;tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020850s045lbl.pdf;No;Slow to dissolve, require gastric administration;10;5;10;Not for jejunal Feeding Tube;-;-;-
Vascepa (Omega-3 Fatty Acids);capsule;Advise patients to swallow capsules whole. Do not break open, crush, dissolve, or chew;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202057s035lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Icosapent Ethyl;capsule;Advise patients to swallow capsules whole. Do not break open, crush, dissolve, or chew;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202057s035lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;-;-;-
Lopid;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/018422s059lbl.pdf;No;Data not available;;;;Data not available;;;
Gemfibrozil;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/018422s059lbl.pdf;No;Data not available;;;;Data not available;;;
Ranexa;Extended Released Tablet;"Swallow tablets whole; do not crush, break, or chew.";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021526s035lbl.pdf;No;Data not available;;;;Data not available;;;
Ranolazine;Extended Released Tablet;"Swallow RANEXA tablets whole; do not crush, break, or chew.";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021526s035lbl.pdf;No;Data not available;;;;Data not available;;;
Hydromorphone;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019891s031,019892s041lbl.pdf;Injectable solution available;;;;;Data not available;;;
Hydromorphone ;Extended Released Tablet;Instruct patients to swallow  tablets intact, and not to cut, break, chew, crush, or dissolve the tablets (risk of potentially fatal overdose);HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf;Injectable solution available;;;;;Data not available;;;
Dexanethasone;Tablet;Manufacture does not have recommendation. Crushable if tablet is not enteric coated or extend-released formulation;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/011664s064lbl.pdf;Oral solution available;Data not available;;;;Data not available;;;
Benicar HCT;Tablet;Film coated Tablet. Manufacture does not have recommendation;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021532s038lbl.pdf;No;Data not available;;;;Data not available;;;
Hydrochlorothiazide (HCTZ)/Olmesartan;Tablet;Film coated Tablet. Manufacture does not have recommendation;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021532s038lbl.pdf;No;Not For FT;-;-;-;Not for FT;-;-;-
Amiodarone;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/018972s054lbl.pdf;No;Not For FT;-;-;-;Not For FT;-;-;-
Nabumetone;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2006/019583s025lbl.pdf;No;Data not available;;;;Data not available;;;
Fioricet;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020232s047lbl.pdf;No;Data not available;;;;Data not available;;;
Acetaminophen/Butabital/Caffeine;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020232s047lbl.pdf;No;Data not available;;;;Data not available;;;
Bisoprolol;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019982s016lbl.pdf;No;Data not available;;;;Data not available;;;
Levaquin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020634s073lbl.pdf;Oral solution and Injectable solution available;Use suspension, Dilute 3x volume;-;-;-;Use suspension, Dilute 3x volume;-;-;-
Levofloxacin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020634s073lbl.pdf;Oral solution and Injectable solution available;Use suspension, Dilute 3x volume;-;-;-;Use suspension, Dilute 3x volume;-;-;-
Lamisil;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020539s033lbl.pdf;No;Data not available;;;;Data not available;;;
Terbinafine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020539s033lbl.pdf;No;Data not available;;;;Data not available;;;
Indocin;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/016059s102lbl.pdf;Oral suspension available;Open capsule, content dissolves quickly;10;1;20;Open capsule, content dissolves quickly;10;1;20
Indomethacin;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/016059s102lbl.pdf;Oral suspension available;Open capsule, content dissolves quickly;10;1;20;Open capsule, content dissolves quickly;10;1;20
Allergra;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2001/20625lbl.pdf;Oral suspension available;Contains co-precipitate, poor dissolution, extra rinse;10;1;30;Contains co-precipitate, poor dissolution, extra rinse;10;1;30
Fexofenadine;capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2001/20625lbl.pdf;Oral suspension available;Contains co-precipitate, poor dissolution, extra rinse;10;1;30;Contains co-precipitate, poor dissolution, extra rinse;10;1;30
Diphnehydramine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=61c340e5-ace6-4ec1-9d3e-e965fca1263a;Oral solution available;;;;;Data not available;;;
Penicillin V K;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=060711;Oral solution available;Use suspension;-;-;-;Use suspension;-;-;-
Senna/Docusate;Film coated tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=68d0fe5d-5de2-4853-bf8b-0042f14e8757;Syrup available;Use suspension;-;-;-;Use suspension;-;-;-
Minocin;Capsule;Swallow whole capsule;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/050649s029lbl.pdf;injectable solution available;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10
Minocycline;Capsule;Swallow whole capsule;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/050649s029lbl.pdf;injectable solution available;Dissolve quickly ;10;1;10;Dissolve quickly ;10;1;10
Erythromycin ;Delayed Released Tablet;Delayed released enteric coated tablet. Do not crush, chew or break tablets before swallowing;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/062298s068lbl.pdf;No;Not for FT. Use suspension;-;-;-;Not for FT. Use suspension;-;-;-
Ery-Tab;Delayed Released Tablet;Delayed released enteric coated tablet. Do not crush, chew or break tablets before swallowing;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/062298s068lbl.pdf;No;Not for FT. Use suspension;-;-;-;Not for FT. Use suspension;;;
Erythromycin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d8c343b-30d9-4cdb-8f55-2a20983a71c1;No;Not for FT. Use suspension;-;-;-;Not for FT. Use suspension;-;-;-
Guanfacine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019032s021lbl.pdf;No;Data not available;;;;Data not available;;;
Intuniv;Extended Released Tablet;Do not crush, chew or break tablets before swallowing;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022037s019lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Guanfacine ;Extended Released Tablet;Do not crush, chew or break tablets before swallowing;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022037s019lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Medroxyprogesterone;Capsule;Swallow whole capsule;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/019781s025lbl.pdf;injectable solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Medroxyprogesterone;Tablet;;HN;10/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/019781s025lbl.pdf;No;Dissolve quickly ;10;1;10;Dissolve quicky;10;1;10
Calcium Carbonate;suspension, tablet, tablet chewable;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cd45c29d-f9e1-4c1e-b7fe-f51a0423fc92;No;Not for FT;-;-;-;Not for FT;-;-;-
Sinemet;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/017555s072lbl.pdf;No;Poorly soluble, require extra rinsing;10;1;-3;Poorly soluble, require extra rinsing;10;1;30
Carbidopa/Levodopa;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/017555s072lbl.pdf;No;Poorly soluble, require extra rinsing;10;1;30;Poorly soluble, require extra rinsing;10;1;30
Sinemet CR;Extended Released Tablet;the whole or half tablet should be swallowed without chewing or crushing.;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/019856s016s024s028lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Carbidopa/Levodopa ;Extended Released Tablet;the whole or half tablet should be swallowed without chewing or crushing.;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/019856s016s024s028lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Sennosides;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=39f4f4b3-726a-41b4-9fb9-78e466bbfc0b;No;Data not available;;;;Data not available;;;
Cefuroxime;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/050605s052,050672s038lbl.pdf;Oral suspension available;Tablet does not dissolves. Use suspension;-;-;-;Tablet does not dissolves. Use suspension;-;-;-
Lomotil;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012462s048lbl.pdf;Oral solution available;Use solution;-;-;-;Use solution;-;-;-
Atropine/Diphenoxylate;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/012462s048lbl.pdf;Oral solution available;Use solution;-;-;-;Use solution;-;-;-
Thiamine;Tablet ;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cdc2e185-c683-4ec6-a498-5db3a1c80919;injectable solution available;Dissolves quickly, need extra rinse;10;2;20;Dissolves quickly, need extra rinse;10;2;20
Mucinex DM;Extended Released Tablet;Do not crush or chew tablet;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021620Orig1s045lbl.pdf;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Dextomethophan/Guaifenesin;Extended Released Tablet;Do not crush or chew Tablet;HN;9/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021620Orig1s045lbl.pdf;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Chlorpheniramine;Tablet ;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31dec627-f2e4-6dbe-e054-00144ff8d46c;injectable solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Cyproheptadin;Tablet ;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/15/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206553;Syrup available;Dissolve slowly;10;5;20;Dissolve slowly;10;5;20
Guaifensin;ER tablet ;Do not crush or chew;HN;8/15/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021282Orig1s055lbl.pdf;Liquid Available;Data not available;;;;Data not available;;;
Imodium;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/017690s005lbl.pdf;No;Use liquid. dilute with 3x volume;-;-;-;Use liquid. dilute with 3x volume;-;-;-
Loperamide;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/017690s005lbl.pdf;No;Use liquid. dilute with 3x volume;-;-;-;Use liquid. dilute with 3x volume;-;-;-
Abacavir;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/020977s019,020978s022lbl.pdf;Liquid Available;Thick brown coating that is very hard to crush. But has lower osmolality than solution;10ml;1 minutes;20ml;Thick brown coating that is very hard to crush. But has lower osmolality than solution;10ml;1 minutes;20 ml
Acarbose;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020482s027lbl.pdf;;Poorly soluble, requires extra rinsing as ppt quickly;20ml;10 mins;30ml;Poorly soluble, requires extra rinsing as ppt quickly;20ml;10 mins;30 ml
Acetazolamide;Table;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/008943s054lbl.pdf;No;Tablet crushes easily, poorly dissolves. Extra rinse;10ml;2 mins;30ml;Tablet crushes easily, poorly dissolves. Extra rinse;10ml;2 mins;30 mol
Amantadine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/016023s041,018101s016lbl.pdf;Syrup available;Syrup is thick, open powder filled capsules;10ml;10;20;Syrup is thick, open powder filled capsules;10;10;20
Aminocaproic Acid;Syrup;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/anda/98/74759_Aminocaproic%20Acid.pdf;Syrup available;Use syrup;-;-;-;Use Syrup;-;-;-
Amitriptyline;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/12703slr093,12704slr046ltr.pdf;No;Dissolves quicky, but oot out quickly;10;1;20;Dissolves quicky, but oot out quickly;10;1;20
Ampicillin;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7f8b1ab1-73c6-4cdf-a838-7a4554c62586;Suspension available ;Capsule forms clumps, use suspension;-;-;-;Capsule forms clumps, use suspension;-;-;-
Anagrelide;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020333s027lbl.pdf;No;Dissolve quicky;10;1;10;Dissolve quicky;10;1;10
Azathioprine;tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/016324s040lbl.pdf;No;Some Generics dissolve slowly;10;20;20;Some Generics dissolve slowly;10;20;20
Benztropine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";Hn;10/6/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d2732f9-b8a9-4e83-91e7-da616ddcb786;No;Dissolve quickly;10;1;10;Dissolve quickly;10;1;10
